"defi","Intitulé","cat_defi","nb_coauteurs","Indicateur","Quelle.donnée.faut.il.surveiller..","Exemples.de.réponses.possibles","Afin.de.suivre.les.progrès..à.quelle.fréquence.est.il.nécessaire.de.surveiller.cette.donnée..","Qui.peut.renseigner.cette.donnée..","Champ.d.application","clarte_cons","cible_cons","qua_cons","finpro_cons","clarte_rev1","clarte_rev2","cible_rev1","cible_rev2","qua_rev1","qua_rev2","finpro_rev1","finpro_rev2","rev_id_12"
"13","Comment maintenir la motivation du groupe classe dans les apprentissages ?","Engager les élèves / étudiants dans les tâches d’apprentissage",1,"Indicateur #1","Les activités demandées ne sont pas faites, ou seulement après encouragement","","Chaque séance","L'enseignant","Primaire et secondaire","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Qualitatif","Quantitatif","Finalité","Finalité","IA/ML"
"13","Comment maintenir la motivation du groupe classe dans les apprentissages ?","Engager les élèves / étudiants dans les tâches d’apprentissage",1,"Indicateur #2a","Sentiment que les élèves ont été attentifs : nombre d'élèves attentifs","","Chaque séance","L'enseignant","Primaire et secondaire","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"13","Comment maintenir la motivation du groupe classe dans les apprentissages ?","Engager les élèves / étudiants dans les tâches d’apprentissage",1,"Indicateur #2b","Sentiment que les élèves ont été attentifs : évaluation de l'attention globale, de 1 à 5","","Chaque séance","L'enseignant","Primaire et secondaire","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"24","Comment articuler enseignement en présentiel et enseignement en distanciel ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #1","Quel est le nombre d'élèves ayant acquis les notions abordées à l'issue d'une session d'hybridation ?","","- éventuellement au début de la séquence sous la forme d'une évaluation formative- à l'issue de la séquence","l'enseignant.e ou formateur.trice","tous","Oui","Non","Quantitatif",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Comment articuler enseignement en présentiel et enseignement en distanciel ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #2","Quel est le degré de satisfaction des enseignant.e.s vis-à-vis de la maÎtrise de certains outils numériques (à préciser dans le questionnaire / dans l'enquête) au service de leur scénarisation pédagogique ?","","- éventuellement au début de la séquence sous la forme d'une évaluation formative- au cours de la séquence- à l'issue de la séquence","l'enseignant.e ou formateur.trice","tous","Oui","Non","Quantitatif",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Comment articuler enseignement en présentiel et enseignement en distanciel ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #3","Quel est le degré de satisfaction des apprenant.e.s vis-à-vis du scénario pédagogique ?","","- à l'issue de la séquence","les apprenant.e.s","tous","Oui","Non","Quantitatif",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Comment l'école peut être un lieu de résilience pour les enseignants et les élèves?","Gérer les comportements",2,"Indicateur #1","Le nombre d'absence injustifiées des élèves","","Tous les mois","Les chefs d'établissement / directeurs / CPE","Tous les niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Non","Oui","Quantitatif","Quantitatif",NA,NA,"IA/EC"
"30","Comment l'école peut être un lieu de résilience pour les enseignants et les élèves?","Gérer les comportements",2,"Indicateur #2","Les absences des enseignant·e·s","","Tous les mois","Les chefs d'établissement / directeurs","Tous les niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Non","Oui","Quantitatif","Quantitatif",NA,NA,"IA/EC"
"30","Comment l'école peut être un lieu de résilience pour les enseignants et les élèves?","Gérer les comportements",2,"Indicateur #3","Le nombre de fois qu'un enfant identifié comme étant en souffrance ou mal-être nomme ses émotions ou ressentis négatifs","","Ã chaque occurrence","Psychologue scolaire, infirmier·e, médecin scolaire, enseignant·e, assistant·e sociale, CPE.","Tous les niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Non","Oui","Quantitatif","Quantitatif",NA,NA,"IA/EC"
"30","Comment l'école peut être un lieu de résilience pour les enseignants et les élèves?","Gérer les comportements",2,"Indicateur #4","Nombre de conseils de discipline par rapport à des infractions relatives au climat scolaire","","Ã chaque occurrence","Chefs d'établissement / CPE","Second degré","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/EC"
"45","Comment améliorer le climat scolaire au sein d’une école?","Gérer les comportements",7,"Indicateur #1","Combien d'élèves détériorent l'ambiance de classe ?","","Tous les jours à chaque séance","Enseignants, élèves et AESH","Collège (6ème/5ème/4ème/3ème)Lycée (2nd, 1ère T/ Terminale T)","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"45","Comment améliorer le climat scolaire au sein d’une école?","Gérer les comportements",7,"Indicateur #2","Combien d'élèves se retrouvent dans une situation délicate (moqueries, harcèlement, réflexions ...) ?","","Tous les jours à chaque séance","Enseignants, élèves et AESH","Collège (6ème/5ème/4ème/3ème)Lycée (2nd, 1ère T/ Terminale T)","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"45","Comment améliorer le climat scolaire au sein d’une école?","Gérer les comportements",7,"Indicateur #3a","Comment se percoivent les élèves dans leur groupe de travail ?","","Tous les mois (une fois par mois)","Direction, enseignants, personnel, élèves, AESH","Collège (6ème/5ème/4ème/3ème)Lycée (2nd, 1ère T/ Terminale T)","Non",NA,NA,NA,"Oui","Non",NA,NA,NA,NA,NA,NA,"IA/ML"
"45","Comment améliorer le climat scolaire au sein d’une école?","Gérer les comportements",7,"Indicateur #3b","Comment se percoivent les élèves dans leur classe ?","","Tous les mois (une fois par mois)","Direction, enseignants, personnel, élèves, AESH","Collège (6ème/5ème/4ème/3ème)Lycée (2nd, 1ère T/ Terminale T)","Non",NA,NA,NA,"Oui","Non",NA,NA,NA,NA,NA,NA,"IA/ML"
